Pop.,Tetra1,Tetra2,Tetra4,Tetra15,Tetra19,Tetra29,Tetra49
20,179182,273279,124127,244248,169169,248248,263263
20,179179,265271,124124,235235,172178,226232,263265
20,179179,271271,124124,235248,175175,223242,263265
20,167179,265265,124124,235256,169175,223229,265268
20,179179,273273,124124,235235,175175,200200,263271
20,179179,262273,124124,235248,172178,223223,263276
20,179179,262262,124124,235235,166166,223223,265265
21,179182,262273,124127,244248,175175,232232,265271
21,179182,262262,124124,235235,169169,217226,268271
21,179182,262262,124127,248248,166166,204204,260265
21,179179,262265,124124,248256,175175,188188,260260
21,179179,265273,124124,248248,166166,204204,265271
21,179179,262262,127127,244244,175175,200200,260271
21,179182,274274,124124,248248,169169,200200,271273
21,179182,262274,124124,248256,172172,232232,265265
21,179179,262265,124127,248248,166166,200200,263265
21,179179,262273,124124,244244,172172,200200,263271
21,179179,262271,127127,244244,172172,220220,265265
21,167179,265265,124124,235248,172172,239239,260265
22,167179,262262,124124,235248,172172,226226,263265
22,179185,262271,124124,248248,175175,194207,260260
22,170179,274274,124124,235235,166175,232232,265273
22,179179,262262,124127,235235,169175,226229,265279
22,179185,274274,124124,248248,169169,207207,260265
22,179182,262281,124127,248248,166166,232232,263265
22,170179,262262,121127,248248,175175,232232,260271
22,179182,262265,127127,248248,169169,217217,276279
22,167179,262262,124124,248248,172172,226239,265265
22,179179,265274,124124,248248,175175,226226,265279
22,179182,270273,124127,235235,169169,217232,263265
23,179182,271282,124124,248256,172172,242242,271271
23,167179,265265,124124,244244,169169,232232,263265
23,167182,274274,124124,248248,175175,220220,265271
23,179179,262262,124127,248248,172172,229229,263263
23,179194,271274,124124,235244,169169,182232,263265
23,167191,262273,124127,235235,166166,223232,260263
23,167179,262265,124127,248256,172172,232232,265271
23,179179,262274,124124,248248,175175,232232,271271
23,179179,262262,124127,248248,175175,232232,263263
24,167179,262262,124124,248248,169169,226226,265276
24,167182,262274,124124,244248,172172,229229,265265
24,179179,265270,124124,235248,169169,229229,263271
24,179179,265281,124124,256256,172172,232232,265265
24,179191,271273,124124,248256,169169,194213,265265
24,182182,265271,121124,235248,166166,232232,260265
24,179179,262273,124127,235235,175175,213213,263265
24,179182,274274,124124,235256,166166,232232,263279
24,173179,273273,124127,235235,172172,213213,257260
24,179179,273273,124127,248248,169169,226226,260276
25,173179,262274,124127,244248,175175,217217,263263
25,167182,268274,124127,248248,175175,223232,263271
25,179179,271274,124124,248248,175175,207207,265265
25,182182,262274,124124,248248,172172,207207,260260
25,179182,265274,124124,248248,172172,229229,260263
25,179185,268274,124124,248248,175175,232232,260263
25,179182,262262,116127,248256,166166,239239,265265
25,179191,274274,124124,248248,172172,239239,260263
25,182182,271274,124124,248248,175175,226248,265265
